Web Series,Positive,Negative,Neutral,Analysis,Status,EncodedStatus,numVotes,averageRating,rotten_Tomatoes,Calculated_rating
At Eternity's Gate,27,13,60,You Decide,Neutral,2,64441,8.8,6.8,5
Haunted: Latin America,3,10,15,Go and Watch,Positive,1,1943,6.8,7.1,4.6
Not a Game,43,50,7,You Decide,Neutral,2,2460,5.7,7.3,4.3
Robocar Poli,7,3,73,You Decide,Neutral,2,1955,7.8,6,4.6
Yu-Gi-Oh!,30,23,47,You Decide,Neutral,2,27135,7.5,7,4.8
7 Yards: The Chris Norton Story,20,15,15,Go and Watch,Positive,1,2135,7.3,8.3,5
Octonauts & the Ring of Fire,20,15,15,Go and Watch,Positive,1,2558,7.8,6.8,4.9
Rainbow High,50,23,27,Go and Watch,Positive,1,1298,6.8,6.9,4.6
Mandela: Long Walk to Freedom,63,17,20,Go and Watch,Positive,1,1329,7.8,5.7,4.5
Lawless,20,50,30,Do not Watch,Negative,0,1821,8.2,6.7,5
Marked,43,20,37,Go and Watch,Positive,1,3138,6.7,7.6,4.8
A Week Away,47,20,33,Go and Watch,Positive,1,6063,7.3,5.8,4.4
Bad Trip,33,57,10,Do not Watch,Negative,0,13136,8.6,6,4.9
Big Time Rush,17,10,73,You Decide,Neutral,2,1905,7.9,5.9,4.6
Black Is Beltza,7,15,77,You Decide,Neutral,2,3869,6.5,7.4,4.6
Croupier,33,17,50,You Decide,Neutral,2,80748,8,4.5,4.2
Elizabeth and Margaret: Love and Loyalty,20,15,15,Go and Watch,Positive,1,1995,7.1,7.4,4.8
Keeping the Bees,47,13,40,Go and Watch,Positive,1,1462,7.3,2.6,3.3
Magic for Humans Spain,20,15,15,Go and Watch,Positive,1,1030,5.6,7.5,4.4
Ni de coña,3,47,50,You Decide,Neutral,2,30698,7.4,8.6,5
Pagglait,3,15,20,Go and Watch,Positive,1,3918,7.1,6.8,4.6
The Irregulars,47,23,30,Go and Watch,Positive,1,1345,8,9.1,5
Caught by a Wave,23,23,27,You Decide,Neutral,2,5494,7.6,6.1,4.6
DOTA: Dragon's Blood,17,13,70,You Decide,Neutral,2,1368,8.1,7.8,5
Pui Pui Molcar,10,10,80,You Decide,Neutral,2,1959,5.8,5,3.6
Secret Magic Control Agency,7,15,10,Go and Watch,Positive,1,1644,8.7,6.2,5
Seaspiracy,37,20,43,You Decide,Neutral,2,1180,7.2,7.6,4.9
Loyiso Gola: Unlearning,20,15,15,Go and Watch,Positive,1,2320,8.7,7.4,5
Men on a Mission,30,33,37,You Decide,Neutral,2,13591,7.6,7.7,5
Navillera,20,17,63,You Decide,Neutral,2,83230,8.1,7.6,5
Philomena,67,10,23,Go and Watch,Positive,1,2739,6.5,7.4,4.6
Any Crybabies Around?,20,15,15,Go and Watch,Positive,1,1443,6.6,2.3,3
Hospital,17,23,60,You Decide,Neutral,2,1673,6.7,5.9,4.2
Jiu Jitsu,10,17,73,You Decide,Neutral,2,17585,8.3,7.2,5
Mighty Morphin Power Rangers,33,3,63,You Decide,Neutral,2,1521,7.3,6,4.4
Alien TV,43,27,30,Go and Watch,Positive,1,1541,8.6,6.9,5
Country Comfort,77,23,15,Go and Watch,Positive,1,6132,6.6,6.6,4.4
Formula 1: Drive to Survive,27,7,67,Do not Watch,Negative,0,9887,6.9,6.6,4.5
Reframe THEATER EXPERIENCE with you,20,15,7,You Decide,Neutral,2,5706,7.3,6.8,4.7
The Yin Yang Master,40,7,37,Do not Watch,Negative,0,5631,7,5.7,4.2
Who's the Boss,30,43,27,Do not Watch,Negative,0,3498,8.5,6.1,4.9
B: The Beginning,33,20,47,You Decide,Neutral,2,3065,6.7,6.1,4.3
Deadly Illusions,10,13,10,Do not Watch,Negative,0,11886,7.4,6.2,4.5
Get the Goat,40,37,23,Go and Watch,Positive,1,20319,7.3,5.3,4.2
Nate Bargatze: The Greatest Average American,20,15,15,Go and Watch,Positive,1,1267,7.5,8.1,5
Skylines,43,13,43,Go and Watch,Positive,1,5756,7.9,7.6,5
The Fluffy Movie,77,10,13,Go and Watch,Positive,1,2029,8.3,7.1,5
The Present,33,30,37,You Decide,Neutral,2,2472,6.3,6.9,4.4
Wave of Cinema: 90's Generation,20,15,15,Go and Watch,Positive,1,2056,7.8,6.3,4.7
Catch.er,20,13,23,You Decide,Neutral,2,1531,8.1,7.4,5
Operation Varsity Blues: The College Admissions Scandal,3,10,3,Go and Watch,Positive,1,1472,7.7,7,4.9
Under Suspicion: Uncovering the Wesphael Case,20,15,15,Go and Watch,Positive,1,117024,8,7.8,5
Get on Up,50,20,30,Go and Watch,Positive,1,1619,6.5,6.9,4.5
RebellComedy: Straight Outta the Zoo,20,15,15,Go and Watch,Positive,1,12285,6.6,5.6,4.1
Savages,3,90,7,Do not Watch,Negative,0,1258,6.8,7,4.6
Waffles + Mochi,43,17,40,Go and Watch,Positive,1,88887,8.9,8.2,5
Abla Fahita: Drama Queen,20,15,15,Go and Watch,Positive,1,3584,7.3,7.8,5
C/O Kaadhal,20,15,15,Go and Watch,Positive,1,112707,8.7,7.2,5
The BFG,37,27,37,Go and Watch,Positive,1,5426,8.5,8.7,5
The Last Blockbuster,87,10,3,Go and Watch,Positive,1,6586,8.1,7.3,5
The Lost Pirate Kingdom,10,23,3,You Decide,Neutral,2,2044,6.3,6.8,4.4
Zero Chill,23,20,57,You Decide,Neutral,2,1417,6.2,8,4.7
Audrey,30,7,63,Do not Watch,Negative,0,2811,8.5,7.1,5
Çarsi Pazar,17,15,83,You Decide,Neutral,2,4849,6,6.6,4.2
Just In Time,33,33,33,Go and Watch,Positive,1,7164,6.7,7.3,4.7
Love Alarm,73,20,7,Go and Watch,Positive,1,1316,7.1,6.4,4.5
Mucize,3,15,97,You Decide,Neutral,2,4712,6.6,6.3,4.3
Paper Lives,47,33,20,Go and Watch,Positive,1,1253,7.1,7.4,4.8
Paradise PD,90,7,3,Go and Watch,Positive,1,1385,6.6,6.2,4.3
Quiet,20,27,53,You Decide,Neutral,2,1626,8.2,6.3,4.8
Romantik Komedi,3,15,97,You Decide,Neutral,2,8356,7,8.1,5
Romantik Komedi 2: Bekarlığa Veda,20,15,3,You Decide,Neutral,2,2333,4.7,7.8,4.2
The One,37,33,30,Go and Watch,Positive,1,1447,7.7,7,4.9
YES DAY,77,13,10,Go and Watch,Positive,1,1965,8.9,7.1,5
You're Everything To Me,63,23,13,Go and Watch,Positive,1,1023,8,7.1,5
Coven of Sisters,20,7,17,Do not Watch,Negative,0,1557,7.7,7,4.9
Generasi 90an: Melankolia,20,15,15,Go and Watch,Positive,1,2979,7.5,6,4.5
The Block Island Sound,10,10,13,You Decide,Neutral,2,3147,8.2,7.1,5
Dealer,23,13,63,You Decide,Neutral,2,1043,8.5,7,5
Last Chance U: Basketball,67,27,7,You Decide,Neutral,2,37994,8.2,8.1,5
Marriage or Mortgage,33,30,37,You Decide,Neutral,2,1370,7.2,5.4,4.2
The Houseboat,43,27,30,Go and Watch,Positive,1,2685,7.8,7.7,5
Bombay Begums,3,3,15,Go and Watch,Positive,1,1965,8.6,8.1,5
Bombay Rose,3,3,23,Go and Watch,Positive,1,1297,7.2,6.6,4.6
My Way,47,37,17,Go and Watch,Positive,1,4386,8,5.9,4.6
Aelay,23,3,73,You Decide,Neutral,2,1880,7.1,7.3,4.8
City of Ghosts,47,20,33,Go and Watch,Positive,1,2796,6.2,7.5,4.6
Dogwashers,3,15,3,Go and Watch,Positive,1,1981,7.9,7.2,5
Fate of Alakada,3,10,7,You Decide,Neutral,2,2440,4.6,7.6,4.1
Nevenka: Breaking the Silence,20,15,15,Go and Watch,Positive,1,1229,8.2,5.3,4.5
Pokémon Journeys: The Series,50,13,37,Go and Watch,Positive,1,4479,8.6,6.6,5
Sentinelle,17,15,83,You Decide,Neutral,2,5590,7.3,8.4,5
Mariposa,3,10,87,You Decide,Neutral,2,2573,7.7,8.6,5
Pacific Rim: The Black,23,13,63,You Decide,Neutral,2,1832,6.4,5.1,3.8
Parker,30,17,53,You Decide,Neutral,2,3103,8.5,4.7,4.4
Safe Haven,57,20,23,Go and Watch,Positive,1,8726,8.6,6.3,5
Moxie,30,23,47,You Decide,Neutral,2,1187,7.5,7.1,4.9
Murder Among the Mormons,10,37,3,Do not Watch,Negative,0,1223,8.5,7.3,5
Black or White,43,27,30,Go and Watch,Positive,1,4196,7.7,6.2,4.6
Indoo Ki Jawani,3,15,3,Go and Watch,Positive,1,2568,6.1,7.1,4.4
Word Party,67,20,13,Go and Watch,Positive,1,1133,7.1,5.9,4.3
A Perfect Day For Arsenide,20,15,15,Go and Watch,Positive,1,1466,7.6,6.1,4.6
Banyuki,3,15,13,Go and Watch,Positive,1,1686,8.1,6.8,5
Biggie: I Got a Story to Tell,20,13,33,You Decide,Neutral,2,1963,7.1,8.3,5
Blanche Gardin: The All-Nighter,20,15,15,Go and Watch,Positive,1,1318,7.5,6.4,4.6
Connected,33,27,40,You Decide,Neutral,2,3834,6.6,6.3,4.3
Dances with Wolves,40,13,47,You Decide,Neutral,2,5624,6.6,8,4.9
How to Be Really Bad,37,50,13,Do not Watch,Negative,0,1739,6.6,8.2,4.9
LEGO Marvel Spider-Man: Vexed by Venom,20,15,15,Go and Watch,Positive,1,2483,8.1,5.1,4.4
Rain Man,37,30,33,Go and Watch,Positive,1,4620,8.6,7.2,5
Seven Souls in the Skull Castle 2011,20,15,15,Go and Watch,Positive,1,2462,6.9,6.8,4.6
Tenacious D in The Pick of Destiny,13,13,70,You Decide,Neutral,2,5610,6.9,7.4,4.8
TIGER & BUNNY,30,13,57,You Decide,Neutral,2,2623,6.6,5.9,4.2
Bigfoot Family,37,23,40,You Decide,Neutral,2,5417,4.1,2.6,2.2
Captain Fantastic,80,13,7,Go and Watch,Positive,1,33712,7.2,5.1,4.1
Crazy About Her,30,60,10,Do not Watch,Negative,0,1496,8.7,7.7,5
Fuga,20,10,90,You Decide,Neutral,2,19404,8.3,6.7,5
Ginny & Georgia - The Afterparty,20,15,15,Go and Watch,Positive,1,1693,7.7,6.5,4.7
No Escape,23,70,7,Do not Watch,Negative,0,42842,8.5,7.4,5
Our Idiot Brother,20,63,17,Do not Watch,Negative,0,2325,8,7.9,5
The Girl on the Train,47,23,30,Go and Watch,Positive,1,100418,8.1,6.1,4.7
Tony Manero,37,7,57,Do not Watch,Negative,0,2592,7.7,5.6,4.4
Who Am I,53,33,13,Go and Watch,Positive,1,1003,6.3,5.7,4
El final del paraíso,13,37,50,You Decide,Neutral,2,21849,7.2,8.2,5
Geez & Ann,7,10,83,You Decide,Neutral,2,2229,8.4,4.8,4.4
Sin senos sí hay paraíso,3,97,15,Do not Watch,Negative,0,3594,7.2,8.1,5
The Last Bastion,37,40,23,Do not Watch,Negative,0,1279,7.5,8,5
Age of Samurai: Battle for Japan,7,7,15,Go and Watch,Positive,1,16317,7.9,6.2,4.7
"Blue, Painful, Fragile",3,17,15,Go and Watch,Positive,1,1093,4.7,8.1,4.3
Canine Intervention,13,3,17,Do not Watch,Negative,0,1089,7.1,8.2,5
Ginny & Georgia,20,20,60,You Decide,Neutral,2,2661,8.1,7.3,5
M8 - When Death Rescues Life,20,15,15,Go and Watch,Positive,1,4902,7.8,8.3,5
Two Sentence Horror Stories,17,80,3,Do not Watch,Negative,0,3266,6.4,5.2,3.9
Brian Regan: On the Rocks,3,15,15,Go and Watch,Positive,1,4935,7.4,6,4.5
Made You Look: A True Story About Fake Art,3,13,15,Go and Watch,Positive,1,1425,7.5,6.9,4.8
Pelé,10,27,63,You Decide,Neutral,2,1122,7.5,6.6,4.7
Red,27,17,57,You Decide,Neutral,2,1594,6.8,6.6,4.5
Zindagi in Short,20,15,7,You Decide,Neutral,2,8379,6.9,6.8,4.6
The Conjuring,37,13,50,You Decide,Neutral,2,46098,7.5,5.7,4.4
The Conjuring 2,23,30,47,You Decide,Neutral,2,3327,9.5,6.1,5
Vincenzo,17,17,67,You Decide,Neutral,2,8408,6.8,6.1,4.3
Classmates Minus,3,3,3,Go and Watch,Positive,1,5019,7.9,6.2,4.7
Fate: The Winx Saga - The Afterparty,3,15,15,Go and Watch,Positive,1,1369,7.7,5.3,4.3
Operation Finale,13,10,77,You Decide,Neutral,2,3216,7.3,8.1,5
Wave of Cinema: Surat dari Timur,20,15,15,Go and Watch,Positive,1,1617,7.9,7.6,5
I Care a Lot,63,33,3,Go and Watch,Positive,1,4788,8,7.1,5
Love,77,7,17,Go and Watch,Positive,1,3931,6.7,6.9,4.5
Perú: Tesoro escondido,20,15,7,You Decide,Neutral,2,5433,7.3,6.3,4.5
Pitta Kathalu,20,13,7,You Decide,Neutral,2,76906,7.6,7.4,5
Tribes of Europa,17,7,77,You Decide,Neutral,2,1364,7.1,7,4.7
Eeb Allay Ooo!,3,15,7,You Decide,Neutral,2,6541,7.5,7.8,5
"Hello, Me!",73,10,17,Go and Watch,Positive,1,3739,7.1,6.9,4.7
No Escape Room,47,53,15,Do not Watch,Negative,0,3671,8.3,5.6,4.6
Sisyphus,23,7,70,You Decide,Neutral,2,6532,7,7,4.7
Thus Spoke Kishibe Rohan,20,13,67,You Decide,Neutral,2,4955,7.3,8.2,5
Amend: The Fight for America,20,3,15,Do not Watch,Negative,0,10471,7.9,7.8,5
Behind Her Eyes,40,30,30,Go and Watch,Positive,1,1023,8.2,7.2,5
MeatEater,20,7,73,You Decide,Neutral,2,4767,8.8,8.7,5
The Most Unknown,47,30,23,Go and Watch,Positive,1,2418,8.3,7.3,5
Animals on the Loose: A You vs. Wild Movie,20,15,15,Go and Watch,Positive,1,120719,8.7,6.8,5
Awara Paagal Deewana,3,15,23,Go and Watch,Positive,1,1842,8,8,5
Good Girls,77,13,10,Go and Watch,Positive,1,1651,6.6,7.1,4.6
The Resurrection of Gavin Stone,20,15,15,Go and Watch,Positive,1,18521,7.2,6.6,4.6
Booba,27,7,67,Do not Watch,Negative,0,1049,8.2,7.3,5
"My Teacher, My Obsession",33,57,10,Do not Watch,Negative,0,2086,8,6.4,4.8
The Crew,43,13,43,Go and Watch,Positive,1,3604,8.3,6.3,4.9
Namaste Wahala,20,10,20,You Decide,Neutral,2,19240,8.3,7.4,5
Monsoon,23,10,67,You Decide,Neutral,2,9674,5.4,6.2,3.9
Buried by the Bernards,20,3,7,You Decide,Neutral,2,1039,6.7,6.3,4.3
Chappelle's Show,57,17,27,Go and Watch,Positive,1,4135,7.4,8.1,5
Hate by Dani Rovira,20,15,15,Go and Watch,Positive,1,1316,7.5,7.8,5
Mundina Nildana,20,15,15,Go and Watch,Positive,1,14192,7.4,7,4.8
Nadiya Bakes,10,15,17,You Decide,Neutral,2,9211,6.6,7.1,4.6
To All The Boys: Always And Forever,63,7,17,Do not Watch,Negative,0,1318,8,7.1,5
Xico's Journey,20,15,15,Go and Watch,Positive,1,2042,7,7,4.7
Capitani,10,17,73,You Decide,Neutral,2,2621,4.2,6,3.4
El Chema,3,27,70,You Decide,Neutral,2,8737,7.5,7.1,4.9
Growing up and other problems,30,10,3,Go and Watch,Positive,1,1437,8.1,7,5
Layla Majnun,3,3,93,You Decide,Neutral,2,10121,6.7,8.1,4.9
Middle of Nowhere,43,17,40,Go and Watch,Positive,1,17562,7.4,5.4,4.3
Red Dot,33,17,50,You Decide,Neutral,2,1110,7.1,7.7,4.9
Squared Love,73,7,20,Go and Watch,Positive,1,21512,6.8,8.1,5
This Is the Life,63,23,13,Go and Watch,Positive,1,4979,7.8,6.6,4.8
Crime Scene: The Vanishing at the Cecil Hotel,7,37,3,Go and Watch,Positive,1,2777,6.7,5.9,4.2
The Misadventures of Hedi and Cokeman,20,15,15,Go and Watch,Positive,1,5228,8.1,7.3,5
The World We Make,63,23,13,Go and Watch,Positive,1,1421,7,7.5,4.8
Five Came Back: The Reference Films,3,15,3,Go and Watch,Positive,1,54284,8.5,7.2,5
ICarly,23,20,57,You Decide,Neutral,2,3825,5.5,7.6,4.4
War Dogs,27,67,7,You Decide,Neutral,2,2607,4,5.3,3.1
Monster Run,63,27,10,Go and Watch,Positive,1,1365,6.5,6.6,4.4
The Sinner,10,3,87,You Decide,Neutral,2,1101,6.2,8.4,4.9
Blanche Gardin: I talk to myself,20,15,15,Go and Watch,Positive,1,18715,8.3,8.6,5
Doob: No Bed of Roses,20,15,15,Go and Watch,Positive,1,102306,8.7,5.1,4.6
Hache,10,20,70,You Decide,Neutral,2,3621,8.1,4.7,3.4
Invisible City,43,13,43,Go and Watch,Positive,1,3486,6.8,6.3,4.4
